Mod:Item:MetaData, Localized Name
DCsAppleMilk:defeatedcrow.bowlBlock:8, 味噌汤
DCsAppleMilk:defeatedcrow.bowlBlock:9, 蛤蜊的潮汁
DCsAppleMilk:defeatedcrow.bowlBlock:15, 空碗
DCsAppleMilk:defeatedcrow.bowlJP:0, 熟米饭(和风)
DCsAppleMilk:defeatedcrow.bowlJP:1, 炖蘑菇(和风)
DCsAppleMilk:defeatedcrow.bowlJP:2, 鲑鱼炖(和风)
DCsAppleMilk:defeatedcrow.bowlJP:3, 鸡肉菜粥(和风)
DCsAppleMilk:defeatedcrow.bowlJP:4, 什锦炒饭(和风)
DCsAppleMilk:defeatedcrow.bowlJP:5, 豆腐火锅 (和风)
DCsAppleMilk:defeatedcrow.bowlJP:6, 南瓜汤(和风)
DCsAppleMilk:defeatedcrow.bowlJP:7, 培根生菜西红柿汤(和风)
DCsAppleMilk:defeatedcrow.bowlJP:8, 味噌汁(和风)
DCsAppleMilk:defeatedcrow.bowlJP:9, 蛤的潮汁(和风)
DCsAppleMilk:defeatedcrow.bowlJP:15, 空碗
DCsAppleMilk:defeatedcrow.foodPlate:0, 铁板牛排
DCsAppleMilk:defeatedcrow.foodPlate:1, 铁板猪排
DCsAppleMilk:defeatedcrow.foodPlate:2, 铁板烤鸡
DCsAppleMilk:defeatedcrow.foodPlate:3, 烤蚌盘
DCsAppleMilk:defeatedcrow.chocolateGift:0, 义理巧克力礼盒
DCsAppleMilk:defeatedcrow.chocolateGift:1, 本命巧克力礼盒
DCsAppleMilk:defeatedcrow.filledCup:0, 白开水
DCsAppleMilk:defeatedcrow.filledCup:1, 热牛奶
DCsAppleMilk:defeatedcrow.filledCup:2, 红茶
DCsAppleMilk:defeatedcrow.filledCup:3, 奶茶
DCsAppleMilk:defeatedcrow.filledCup:4, 绿茶
DCsAppleMilk:defeatedcrow.filledCup:5, 牛奶绿茶
DCsAppleMilk:defeatedcrow.filledCup:6, 黑色可可
DCsAppleMilk:defeatedcrow.filledCup:7, 巧克力牛奶
DCsAppleMilk:defeatedcrow.filledCup:8, 水果果汁
DCsAppleMilk:defeatedcrow.filledCup:9, 水果奶昔
DCsAppleMilk:defeatedcrow.filledCup:10, 热柠檬水
DCsAppleMilk:defeatedcrow.filledCup:11, 牛奶柠檬水
DCsAppleMilk:defeatedcrow.filledCup:12, 咖啡
DCsAppleMilk:defeatedcrow.filledCup:13, 牛奶咖啡
DCsAppleMilk:defeatedcrow.filledCup2:0, 伯爵茶
DCsAppleMilk:defeatedcrow.filledCup2:1, 伯爵奶茶
DCsAppleMilk:defeatedcrow.filledCup2:2, 苹果茶
DCsAppleMilk:defeatedcrow.filledCup2:3, 苹果奶茶
DCsAppleMilk:defeatedcrow.filledCup2:4, 青柠汁
DCsAppleMilk:defeatedcrow.filledCup2:5, 番茄汁
DCsAppleMilk:defeatedcrow.filledCup2:6, 浆果果汁
DCsAppleMilk:defeatedcrow.filledCup2:7, 浆果奶昔
DCsAppleMilk:defeatedcrow.filledCup2:8, 葡萄汁
DCsAppleMilk:defeatedcrow.filledCup2:9, 薄荷茶
DCsAppleMilk:defeatedcrow.filledCup2:10, 柚子酒
DCsAppleMilk:defeatedcrow.filledCup2:11, 橙汁
DCsAppleMilk:defeatedcrow.filledCup2:12, 苏打水
DCsAppleMilk:defeatedcrow.iceCreamBlock:0, 牛奶冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:1, 抹茶冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:2, 抹茶冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:3, 可可冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:4, 咖啡冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:5, 水果冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:6, 柠檬冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:7, 酸橙冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:8, 番茄冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:9, 浆果冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:10, 葡萄冰激凌
DCsAppleMilk:defeatedcrow.iceCreamBlock:11, 薄荷冰淇淋
DCsAppleMilk:defeatedcrow.iceCreamBlock:12, 橙子冰激凌
DCsAppleMilk:defeatedcrow.iceCreamBlock:13, 苏打冰激凌
DCsAppleMilk:defeatedcrow.alcoholCup:0, 日本清酒
DCsAppleMilk:defeatedcrow.alcoholCup:1, 啤酒
DCsAppleMilk:defeatedcrow.alcoholCup:2, 葡萄酒
DCsAppleMilk:defeatedcrow.alcoholCup:3, 杜松子酒
DCsAppleMilk:defeatedcrow.alcoholCup:4, 朗姆酒
DCsAppleMilk:defeatedcrow.alcoholCup:5, 伏特加
DCsAppleMilk:defeatedcrow.alcoholCup:6, 威士忌
DCsAppleMilk:defeatedcrow.alcoholCup:7, 苹果酒
DCsAppleMilk:defeatedcrow.alcoholCup:8, 茶酒
DCsAppleMilk:defeatedcrow.alcoholCup:9, 黑加仑酒
DCsAppleMilk:defeatedcrow.alcoholCup:10, 梅子酒
DCsAppleMilk:defeatedcrow.alcoholCup:11, 烧酒
DCsAppleMilk:defeatedcrow.alcoholCup:12, 白兰地酒
DCsAppleMilk:defeatedcrow.alcoholCup:13, 阿玛雷托
DCsAppleMilk:defeatedcrow.cocktail:0, 冰冻代基里酒(一种水果鸡尾酒)
DCsAppleMilk:defeatedcrow.cocktail:1, 冰镇清酒
DCsAppleMilk:defeatedcrow.cocktail:2, 清酒马提尼
DCsAppleMilk:defeatedcrow.cocktail:3, 吉姆利特
DCsAppleMilk:defeatedcrow.cocktail:4, 黑玫瑰
DCsAppleMilk:defeatedcrow.cocktail:5, 红眼
DCsAppleMilk:defeatedcrow.cocktail:6, 冰镇果汁朗姆酒
DCsAppleMilk:defeatedcrow.cocktail:7, 美国柠檬水
DCsAppleMilk:defeatedcrow.cocktail:8, 莫斯科骡子
DCsAppleMilk:defeatedcrow.cocktail:9, 薄荷朱莉酒
DCsAppleMilk:defeatedcrow.cocktail:10, 科尔酒(一种干白葡萄酒)
DCsAppleMilk:defeatedcrow.cocktail:11, 黑加仑牛奶
DCsAppleMilk:defeatedcrow.cocktail:12, 血腥玛丽
DCsAppleMilk:defeatedcrow.cocktail:13, 黑加仑鸡尾酒
DCsAppleMilk:defeatedcrow.cocktail:14, 双苹果调味酒
DCsAppleMilk:defeatedcrow.cocktail:15, 梅子豆奶
DCsAppleMilk:defeatedcrow.cocktail2:0, 魔晄利久酒（蒸馏酒和碳酸水混合饮料）
DCsAppleMilk:defeatedcrow.cocktail2:1, 啤酒汽水(羽毛装饰)
DCsAppleMilk:defeatedcrow.cocktail2:2, 汽酒
